Property_ID,Tenant_ID,Month,Monthly_Rent,Lease_Expiry_Date,Group
P01,P01_T1,2023-01-01,72733.66915535001,2027-02-01,High Growth + High Concentration
P01,P01_T2,2023-01-01,20781.048330100006,2024-07-01,High Growth + High Concentration
P01,P01_T3,2023-01-01,10390.524165050003,2024-09-01,High Growth + High Concentration
P01,P01_T1,2023-02-01,75237.2366902774,2027-02-01,High Growth + High Concentration
P01,P01_T2,2023-02-01,21496.35334007926,2024-07-01,High Growth + High Concentration
P01,P01_T3,2023-02-01,10748.17667003963,2024-09-01,High Growth + High Concentration
P01,P01_T1,2023-03-01,78685.5644416851,2027-02-01,High Growth + High Concentration
P01,P01_T2,2023-03-01,22481.589840481458,2024-07-01,High Growth + High Concentration
P01,P01_T3,2023-03-01,11240.794920240729,2024-09-01,High Growth + High Concentration
P01,P01_T1,2023-04-01,82395.57580881404,2027-02-01,High Growth + High Concentration
P01,P01_T2,2023-04-01,23541.593088232585,2024-07-01,High Growth + High Concentration
P01,P01_T3,2023-04-01,11770.796544116292,2024-09-01,High Growth + High Concentration
P01,P01_T1,2023-05-01,86225.16500436827,2027-02-01,High Growth + High Concentration
P01,P01_T2,2023-05-01,24635.76142981951,2024-07-01,High Growth + High Concentration
P01,P01_T3,2023-05-01,12317.880714909756,2024-09-01,High Growth + High Concentration
P01,P01_T1,2023-06-01,87836.76604906622,2027-02-01,High Growth + High Concentration
P01,P01_T2,2023-06-01,25096.218871161782,2024-07-01,High Growth + High Concentration
P01,P01_T3,2023-06-01,12548.109435580891,2024-09-01,High Growth + High Concentration
P01,P01_T1,2023-07-01,90634.941639196,2027-02-01,High Growth + High Concentration
P01,P01_T2,2023-07-01,25895.697611198862,2024-07-01,High Growth + High Concentration
P01,P01_T3,2023-07-01,12947.848805599431,2024-09-01,High Growth + High Concentration
P01,P01_T1,2023-08-01,95441.7431849092,2027-02-01,High Growth + High Concentration
P01,P01_T2,2023-08-01,27269.069481402632,2024-07-01,High Growth + High Concentration
P01,P01_T3,2023-08-01,13634.534740701316,2024-09-01,High Growth + High Concentration
P01,P01_T1,2023-09-01,99256.53451796378,2027-02-01,High Growth + High Concentration
P01,P01_T2,2023-09-01,28359.009862275372,2024-07-01,High Growth + High Concentration
P01,P01_T3,2023-09-01,14179.504931137686,2024-09-01,High Growth + High Concentration
P01,P01_T1,2023-10-01,101266.70099273107,2027-02-01,High Growth + High Concentration
P01,P01_T2,2023-10-01,28933.34314078031,2024-07-01,High Growth + High Concentration
P01,P01_T3,2023-10-01,14466.671570390155,2024-09-01,High Growth + High Concentration
P01,P01_T1,2023-11-01,106367.61068216179,2027-02-01,High Growth + High Concentration
P01,P01_T2,2023-11-01,30390.745909189085,2024-07-01,High Growth + High Concentration
P01,P01_T3,2023-11-01,15195.372954594543,2024-09-01,High Growth + High Concentration
P01,P01_T1,2023-12-01,112840.94644288081,2027-02-01,High Growth + High Concentration
P01,P01_T2,2023-12-01,32240.270412251662,2024-07-01,High Growth + High Concentration
P01,P01_T3,2023-12-01,16120.135206125831,2024-09-01,High Growth + High Concentration
P01,P01_T1,2024-01-01,114835.04077488884,2027-02-01,High Growth + High Concentration
P01,P01_T2,2024-01-01,32810.01164996824,2024-07-01,High Growth + High Concentration
P01,P01_T3,2024-01-01,16405.00582498412,2024-09-01,High Growth + High Concentration
P01,P01_T1,2024-02-01,122080.49903717768,2027-02-01,High Growth + High Concentration
P01,P01_T2,2024-02-01,34880.14258205077,2024-07-01,High Growth + High Concentration
